Date;Local Team;Visiting Team;Distance (m)
1;"Audax Italiano";"Cobresal";815628
1;"Audax Italiano";"Colo-Colo";4586
1;"Audax Italiano";"Coquimbo Unido";404021
1;"Audax Italiano";"Curico Unido";170302
1;"Audax Italiano";"Deportes Antofagasta";1.0977e+06
1;"Audax Italiano";"Deportes La Serena";408600
1;"Audax Italiano";"Everton";106465
1;"Audax Italiano";"Huachipato";424979
1;"Audax Italiano";"Nublense";369367
1;"Audax Italiano";"O'Higgins";72333.8
1;"Audax Italiano";"Palestino";9032.25
1;"Audax Italiano";"Santiago Wanderers";114299
1;"Audax Italiano";"Union Espanola";16900.8
1;"Audax Italiano";"Union La Calera";102086
1;"Audax Italiano";"Universidad Catolica";17648.7
1;"Audax Italiano";"Universidad de Chile";8996.96
1;"Audax Italiano";"Universidad de Concepcion";426515
2;"Cobresal";"Audax Italiano";815628
2;"Cobresal";"Colo-Colo";812152
2;"Cobresal";"Coquimbo Unido";445635
2;"Cobresal";"Curico Unido";981883
2;"Cobresal";"Deportes Antofagasta";297547
2;"Cobresal";"Deportes La Serena";436919
2;"Cobresal";"Everton";774150
2;"Cobresal";"Huachipato";1.21335e+06
2;"Cobresal";"Nublense";1.17627e+06
2;"Cobresal";"O'Higgins";887710
2;"Cobresal";"Palestino";814492
2;"Cobresal";"Santiago Wanderers";777464
2;"Cobresal";"Union Espanola";801505
2;"Cobresal";"Union La Calera";742050
2;"Cobresal";"Universidad Catolica";798807
2;"Cobresal";"Universidad de Chile";807559
2;"Cobresal";"Universidad de Concepcion";1.2176e+06
3;"Colo-Colo";"Audax Italiano";4586
3;"Colo-Colo";"Cobresal";812152
3;"Colo-Colo";"Coquimbo Unido";399819
3;"Colo-Colo";"Curico Unido";173014
3;"Colo-Colo";"Deportes Antofagasta";1.09394e+06
3;"Colo-Colo";"Deportes La Serena";404441
3;"Colo-Colo";"Everton";102259
3;"Colo-Colo";"Huachipato";426868
3;"Colo-Colo";"Nublense";371976
3;"Colo-Colo";"O'Higgins";75612.9
3;"Colo-Colo";"Palestino";6394.75
3;"Colo-Colo";"Santiago Wanderers";110197
3;"Colo-Colo";"Union Espanola";12370.4
3;"Colo-Colo";"Union La Calera";97500.6
3;"Colo-Colo";"Universidad Catolica";15711.3
3;"Colo-Colo";"Universidad de Chile";4699.84
3;"Colo-Colo";"Universidad de Concepcion";428500
4;"Coquimbo Unido";"Audax Italiano";404021
4;"Coquimbo Unido";"Cobresal";445635
4;"Coquimbo Unido";"Colo-Colo";399819
4;"Coquimbo Unido";"Curico Unido";557075
4;"Coquimbo Unido";"Deportes Antofagasta";706083
4;"Coquimbo Unido";"Deportes La Serena";10274.8
4;"Coquimbo Unido";"Everton";339564
4;"Coquimbo Unido";"Huachipato";772663
4;"Coquimbo Unido";"Nublense";743193
4;"Coquimbo Unido";"O'Higgins";471814
4;"Coquimbo Unido";"Palestino";400334
4;"Coquimbo Unido";"Santiago Wanderers";341124
4;"Coquimbo Unido";"Union Espanola";387791
4;"Coquimbo Unido";"Union La Calera";313723
4;"Coquimbo Unido";"Universidad Catolica";389616
4;"Coquimbo Unido";"Universidad de Chile";395137
4;"Coquimbo Unido";"Universidad de Concepcion";777541
5;"Curico Unido";"Audax Italiano";170302
5;"Curico Unido";"Cobresal";981883
5;"Curico Unido";"Colo-Colo";173014
5;"Curico Unido";"Coquimbo Unido";557075
5;"Curico Unido";"Deportes Antofagasta";1.2595e+06
5;"Curico Unido";"Deportes La Serena";563011
5;"Curico Unido";"Everton";219730
5;"Curico Unido";"Huachipato";260413
5;"Curico Unido";"Nublense";199142
5;"Curico Unido";"O'Higgins";99421.1
5;"Curico Unido";"Palestino";169564
5;"Curico Unido";"Santiago Wanderers";220315
5;"Curico Unido";"Union Espanola";182301
5;"Curico Unido";"Union La Calera";243555
5;"Curico Unido";"Universidad Catolica";187918
5;"Curico Unido";"Universidad de Chile";177303
5;"Curico Unido";"Universidad de Concepcion";260712
